id,title,place,description,siteUrl,favoritesCount,commentsCount,rating
51330,"В центре Петербурга запретят проезд и парковку","","<p>Все ограничения снимут только 22 сентября.</p>",https://kudago.com/spb/news/v-tsentre-peterburga-zapretyat/,0,0,0.5
51331,"«Победа» анонсировала распродажу билетов","","<p>Скидки на все направления.</p>",https://kudago.com/all/news/pobeda-anonsirovala-rasprodazhu/,0,0,0.5
51327,"Названы станции метро Петербурга, где будут тестировать оплату по биометрии","","<p>Первыми новую технологию опробуют сотрудники подземки.</p>",https://kudago.com/spb/news/testirovat-oplatu-po-biometrii/,0,0,0.5
51326,"В Петербурге заметили уличное пианино","","<p>На нём просят не играть ночью.</p>",https://kudago.com/spb/news/v-peterburge-zametili-ulichnoe-pianino/,0,0,0.5
51325,"Apple провела презентацию новинок 2024 года","","<p>Покупателям представили улучшенные модели смартфонов, часов и наушников.</p>",https://kudago.com/all/news/apple-provela-prezentatsiyu/,0,0,0.5
51324,"В Удельном парке белки устраивают грибной дождь","","<p>Особую осторожность следует проявлять в районе дубовой поляны.</p>",https://kudago.com/spb/news/posetitelej-udelnogo-parka/,0,0,0.5
51322,"Новая экотропа появилась в Ленобласти","","<p>Её обустройство заняло год.</p>",https://kudago.com/spb/news/novaya-ekotropa-poyavilas-v-lenoblasti/,0,0,0.5
51316,"В Ленобласти пожарные спасли пса из люка коллектора","","<p>Он угодил в ловушку, когда вышел на утреннюю пробежку.</p>",https://kudago.com/spb/news/v-lenoblasti-pozharnyie-spasli-psa/,0,0,0.5
51314,"В Адыгее сплели самую длинную в истории  России сырную косу","","<p>Её изготовили во время гастрономического фестиваля.</p>",https://kudago.com/all/news/samaya-dlinnaya-syrnaya-kosa-rossii/,0,0,0.5
51312,"«Сёгун» установил рекорд по числу выигранных Creative Arts Emmys","","<p>Также награда досталась Джейми Ли Кёртис.</p>",https://kudago.com/all/news/syogun-ustanovil-rekord-po/,0,0,0.5
51310,"Стали известны лауреаты Венецианского кинофестиваля","","<p>Главный приз получил Педро Альмодовар.</p>",https://kudago.com/all/news/laureaty-venecianskogo-kinofestivalya-2024/,0,0,0.5
51309,"The Weeknd поделился обложкой нового альбома","","<p>И его названием.</p>",https://kudago.com/all/news/the-weeknd-podelilsya-oblozhkoj/,0,0,0.5
51308,"Фестиваль Beat Weekend 2024 представил программу для Санкт-Петербурга","","<p>На показы пригласили экспертных гостей под тематику каждого фильма. </p>",https://kudago.com/spb/news/festival-beat-weekend-2024/,0,0,0.5
51307,"Чёрные лисички и многоглавые боровики: грибники Петербурга и Ленобласти делятся фотографиями трофеев","","<p>Жара грозит сорвать осенний сезон сбора грибов.</p>",https://kudago.com/spb/news/gribniki-peterburga-i-lenoblasti-delyatsya-fotografiyami/,0,0,0.5
51234,"Город глазами художника Никаса Сафронова","Place(id=257)","<p>В Петропавловской крепости стартовала персональная выставка художника Никаса Сафронова под названием «Большая Любовь к Петербургу». Мы встретились с ним на её открытии и поговорили с ним о том, каким он <a href="https://kudago.com/spb/activity/gorod-glazami/">видит</a> <a href="https://kudago.com/spb/" title="афиша спб">Северную столицу</a>. Вот что из этого получилось.</p>",https://kudago.com/all/news/gorod-glazami-hudozhnika-nikasa/,0,0,0.5
51305,"В Петербурге продолжается лето","","<p>Эта неделя будет сухой и тёплой.</p>",https://kudago.com/spb/news/v-peterburge-prodolzhaetsya-leto/,0,0,0.5
51300,"Москва лидирует в списке городов, где живут одиночки","","<p>Тренд на самостоятельную жизнь набирает обороты.</p>",https://kudago.com/all/news/moskva-lidiruet-v-spiske/,0,0,0.5
51299,"Вышел новый трейлер сказочного мюзикла «Злая» с Ариной Гранде","","<p>Премьера ожидается в конце осени.</p>",https://kudago.com/all/news/vyishel-novyij-trejler-skazochnogo/,0,0,0.5
51298,"Linkin Park анонсировали тур и новый альбом","","<p>У группы новые вокалистка и барабанщик.</p>",https://kudago.com/all/news/linkin-park-anonsirovali-tur-i/,0,0,0.5
51295,"В Пушкине отремонтировали мост-памятник","","<p>По нему идёт дорога к железнодорожному вокзалу.</p>",https://kudago.com/spb/news/v-pushkine-otremontirovali-most-/,0,0,0.5
51294,"РЖД продлили маршрут туристического поезда «Зоопарк экспресс» в Карелии","","<p>Состав продолжит курсировать осенью</p>",https://kudago.com/spb/news/rzhd-prodlili-marshrut/,0,0,0.5
51292,"Петербургу обещают новые температурные рекорды","","<p>Летняя погода задержится в Северной столице.</p>",https://kudago.com/spb/news/peterburgu-obeschayut-novyie/,0,0,0.5
51258,"«Дорожное радио» проведёт специальный эфир из Петропавловской крепости","","<p>Слушателей ждём особое шоу.</p>",https://kudago.com/spb/news/dorozhnoe-radio-provedyot/,0,0,0.5
51282,"В Ленобласти грибы растут даже в лисьих норах","","<p>Фотографии находки появились в соцсетях.</p>",https://kudago.com/spb/news/v-lenoblasti-gribyi-nahodyat-dazhe/,0,0,0.5
51281,"В программу следующих «Поющих мостов» вошли песни в исполнении Галины Вишневской","","<p>Шоу посвятят дню начала Блокады Ленинграда.</p>",https://kudago.com/spb/news/v-programmu-sleduyuschih-poyuschih/,0,0,0.5
